Time (s),Potential (V),Current (μA),C_O at electrode (mM),C_R at electrode (mM)
0.04,-0.498,1527.1499417598432,1.0379653607883599e-07,1.577750729747372
0.08,-0.496,761.9875680432708,5.722921925615012e-08,1.5773506528454448
0.12,-0.494,571.8867177903447,4.661266951212854e-08,1.577350242763586
0.16,-0.492,476.6386825838178,4.18994324031359e-08,1.5773502450014871
0.2,-0.49,417.0837023949895,3.942083233475218e-08,1.5773502464309932
0.24000000000000002,-0.488,375.38775402047634,3.808149966755948e-08,1.5773502472037992
0.28,-0.486,344.11268560558386,3.743045283963656e-08,1.5773502475794052
0.32,-0.484,319.53786440865633,3.7246199404312273e-08,1.5773502476855967
0.36,-0.482,299.5699486336154,3.740741586087051e-08,1.5773502475923797
0.39999999999999997,-0.48,282.929484998218,3.784284256210246e-08,1.5773502473408763
0.43999999999999995,-0.478,268.7847439108049,3.850883580314508e-08,1.5773502469562724
0.4799999999999999,-0.476,256.56859454190914,3.937820356790916e-08,1.577350246454261
0.5199999999999999,-0.474,245.8792962178241,4.043419909392063e-08,1.5773502458445068
0.5599999999999999,-0.472,236.4232559454417,4.1667087079809995e-08,1.5773502451326278
0.6,-0.47,227.98027092332273,4.3072085470164213e-08,1.5773502443213825
0.64,-0.46799999999999997,220.38151390108132,4.464808597407601e-08,1.5773502434114097
0.68,-0.46599999999999997,213.49508524053599,4.6396837213744985e-08,1.5773502424016983
0.7200000000000001,-0.46399999999999997,207.2162388457017,4.8322414465083934e-08,1.577350241289895
0.7600000000000001,-0.46199999999999997,201.46059434333432,5.0430873720312046e-08,1.5773502400725021
0.8000000000000002,-0.45999999999999996,196.1593139946603,5.273002848893924e-08,1.577350238745008
0.8400000000000002,-0.45799999999999996,191.25560585392918,5.522931110811779e-08,1.577350237301966
0.8800000000000002,-0.45599999999999996,186.70214270053185,5.7939694216937595e-08,1.577350235737041
0.9200000000000003,-0.45399999999999996,182.45912619467714,6.087365656363891e-08,1.5773502340430274
0.9600000000000003,-0.45199999999999996,178.49281392310544,6.404518268524384e-08,1.5773502322118507
1.0000000000000002,-0.44999999999999996,174.77438397670772,6.746978947530502e-08,1.5773502302345517
1.0400000000000003,-0.44799999999999995,171.27904930698193,7.116457496089966e-08,1.577350228101258
1.0800000000000003,-0.44599999999999995,167.98535942013564,7.51482861753387e-08,1.5773502258011454
1.1200000000000003,-0.44399999999999995,164.87464431144036,7.94414041011233e-08,1.5773502233223886
1.1600000000000004,-0.44199999999999995,161.93056762145818,8.406624443260145e-08,1.5773502206521028
1.2000000000000004,-0.43999999999999995,159.13876453456075,8.904707347414402e-08,1.577350217776277
1.2400000000000004,-0.43799999999999994,156.4865460597614,9.441023891551891e-08,1.5773502146796987
1.2800000000000005,-0.43599999999999994,153.96265577560237,1.0018431555654248e-07,1.5773502113458693
1.3200000000000005,-0.43399999999999994,151.5570683827894,1.0640026631836678e-07,1.5773502077569113
1.3600000000000005,-0.43199999999999994,149.2608218300501,1.1309161909979336e-07,1.5773502038934664
1.4000000000000006,-0.42999999999999994,147.06587659505362,1.2029466022828114e-07,1.5773501997345836
1.4400000000000006,-0.42799999999999994,144.96499707750127,1.2804864542721154e-07,1.5773501952575972
